"","catch.date","person","species","PIT.tag","length","mass","age.class","sex","repro","air.temp","zscore.mass","zscore.length","zscore.max"
"873",2008-07-04,"OMM","rattlesnake","452F616938",NA,285,"adult","male",NA,"27.5",1.08741844110595,NA,1.08741844110595
"874",2008-07-04,"LG","rattlesnake","453518405C",NA,124,"adult","female","nongravid","",0.414579294053382,NA,0.414579294053382
"875",2008-07-07,"LG","rattlesnake","48433E192C",NA,208,"adult","female","nongravid","25.6",0.369071698203663,NA,0.369071698203663
"876",2008-07-07,"LG","rattlesnake","485E704F4C",NA,262,"adult","male",NA,"34.9",0.872847336083192,NA,0.872847336083192
"877",2008-07-09,"LG","rattlesnake","4578323719",NA,251,"adult","male",NA,"",0.770226372811436,NA,0.770226372811436
"878",2008-07-09,"OMM","rattlesnake","44617D154F",NA,279,"adult","male",NA,"25.6",1.03144337023045,NA,1.03144337023045
"879",2008-07-09,"LG","rattlesnake","48493C0603",NA,108,"sub.adult","female","nongravid","",0.56384614972139,NA,0.56384614972139
"880",2008-07-09,"LG","rattlesnake","484C613B7B",NA,241,"adult","male",NA,"",0.676934588018931,NA,0.676934588018931
"881",2008-07-09,"LG","rattlesnake","484F493774",NA,208,"adult","male",NA,"",0.369071698203663,NA,0.369071698203663
"882",2008-07-12,"OMM","rattlesnake","43604A3027",NA,273,"adult","male",NA,"24.9",0.975468299354948,NA,0.975468299354948
"883",2008-07-16,"OMM","rattlesnake","45663C3516",NA,253,"adult","male",NA,"",0.788884729769937,NA,0.788884729769937
"884",2008-07-16,"LG","rattlesnake","485E612A77",NA,240,"adult","male",NA,"23.8",0.66760540953968,NA,0.66760540953968
"885",2008-07-17,"LG","rattlesnake","4463467107",NA,270,"adult","male",NA,"22.9",0.947480763917196,NA,0.947480763917196
"887",2008-07-29,"CG staff","rattlesnake","430F79466A",NA,217,"adult","male",NA,"",0.453034304516918,NA,0.453034304516918
"888",2008-07-29,"OMM, CIK","rattlesnake","452E260D22",NA,-122,"adult","male",NA,"23.8",2.70955719994901,NA,2.70955719994901
"889",2008-07-30,"CIK","rattlesnake","4A4E536E27",NA,115,"juvenile","male",NA,"",0.498541900366637,NA,0.498541900366637
"890",2008-07-31,"CIK","rattlesnake","4A250B3C7D",NA,73,"juvenile","male",NA,"",0.890367396495159,NA,0.890367396495159
"891",2008-08-07,"CIK, TER","rattlesnake","452F4D6857",NA,300,"adult","male",NA,"",1.22735611829471,NA,1.22735611829471
"892",2008-08-07,"Sean Stelkia","rattlesnake","457A10006E",NA,165,"adult","female","nongravid","",0.0320829764041099,NA,0.0320829764041099
"893",2008-08-07,"CIK","rattlesnake","4A1D697B47",NA,173,"sub.adult","male",NA,"31.5",0.0425504514298944,NA,0.0425504514298944
"894",2008-08-07,"CIK, TER","rattlesnake","4A1D751E33",NA,166,"adult","male",NA,"",0.0227537979248593,NA,0.0227537979248593
"895",2008-08-07,"CIK, TER","rattlesnake","4A1E1E0E0C",NA,101,"sub.adult","male",NA,"",0.629150399076144,NA,0.629150399076144
"896",2008-08-08,"TER, CIK","rattlesnake","4532697B31",NA,135,"adult","female","nongravid","26.6",0.311958330781626,NA,0.311958330781626
