PIT TAG,DATE,Time,RESEARCHER,RECAP,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEMP,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,Northing,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,DIST BUI,DIST RD,DIR BUI,DIR RD,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,RATTLE,COMMENTS,"ELEVATION, M"
982126057821636,08-13-2019,12:14,"DME, NGE",NO,RATTLE,SUNNY/CLOUDY,40%,28,26.9,SIGHT,COILED/BASKING,SHRUB STEPPE,WITHIN ROCKS,BELLATRIX ROOKERY,322745,5435179,NA,TAN LINEN,25.9,101,78,23,F,NEONATE,NA,>100,>100,SW,SW,NO,12:20,08-13-2019,SAME AS CAPTURE,0,BELLATRIX BABY MOST LIKELY,,
982126057821690,08-13-2019,11:52,"DME, NGE",NO,RATTLE,SUNNY/CLOUDY,40%,28,26.9,SOUND,HIDING,SHRUB STEPPE,UNDER ROCKS,5M SW BELLATRIX ROOKERY,322741,5435183,NA,TAN LINEN,40.2,152,78,74,F,SUB ADULT,NA,>100,>100,S,S,NO,12:00,08-13-2019,SAME AS CAPTURE,0,"2+B, SHEDDING",,
982126057821685,08-13-2019,11:21,"DME, NGE",NO,GOPHER,SUNNY/CLOUDY,40%,26.7,33.2,SIGHT,MOVING,SHRUB STEPPE,ON DIRT,100M DOWNSLOPE POMONA ROOKERY,322725,5435260,NA,TAN LINEN,29.6,95,78,18,F,NEONATE,NA,>100,>100,SW,SW,NO,11:30,08-13-2019,SAME AS CAPTURE,0,"VERY NEW, AGGRESSIVE/HISSED",,
982126057821565,08-13-2019,12:14,"DME, NGE",NO,RATTLE,SUNNY/CLOUDY,40%,28,26.9,SIGHT,COILED/BASKING,SHRUB STEPPE,WITHIN ROCKS,BELLATRIX ROOKERY,322745,5435179,NA,UNKNOWN,25.3,95,78,17,M,NEONATE,NA,>100,>100,SW,SW,NO,12:30,08-13-2019,SAME AS CAPTURE,0,"BELLATRIX BABY MOST LIKELY, SHEDDING",,
982126057821713,08-13-2019,12:14,"DME, NGE",NO,RATTLE,SUNNY,30%,28,26.9,SIGHT,COILED/BASKING,SHRUB STEPPE,WITHIN ROCKS,BELLATRIX ROOKERY,322747,5435184,NA,TAN LINEN,25.8,99,78,21,M,NEONATE,NA,>100,>100,SW,SW,NO,12:40,08-13-2019,SAME AS CAPTURE,0,"ABOUT 5 DAYS OLD, SHEDDING",,
982126057821718,08-13-2019,12:55,"DME, NGE",NO,RATTLE,SUNNY/CLOUDY,60%,29.7,28.7,SIGHT,COILED/BASKING,SHRUB STEPPE/ ROCK OUTCROP,UNDER ROCK,GINNY ROOKERY,322574,5435181,NA,WHITE,39.15,182,108,74,M,SUB ADULT,NA,>100,>100,S,S,NO,13:03,08-13-2019,SAME AS CAPTURE,0,1+B,MOUSE IN STOMACH,
0A180D5F69,08-14-2019,10:44,"DME, NGE",YES,RATTLE,SUNNY,5%,25.9,26.1,SIGHT,HIDING,TALUS,UNDER ROCK,50M SW OF DEN 8,322068,5435718,NA,24,63.3,259,122,137,F,ADULT,POST PARTUM,>200,>200,SW,SW,NO,10:47,08-14-2019,SAME AS CAPTURE,0,"10 BROKEN, 2-4 ADULT SHEDS NEARBY",,
982126057821555,08-14-2019,13:50,"DME, NGE",NO,RATTLE,SUNNY,10%,32.3,27.9,SIGHT,COILED/HIDING,TALUS,WITHIN ROCKS,SALLYS ROOKERY,321946,5435903,,ZIPLOCK,24.4,29,10,19,F,NEONATE,NA,>250,>250,SW,SW,NO,14:00,08-14-2019,SAME AS CAPTURE,0,"SALLYS BABY, CURRENTLY SHEDDING",,
982126057821672,08-14-2019,13:02,"DME, NGE",NO,RATTLE,SUNNY,20%,35.9,25.9,SIGHT,COILED,TALUS,WITHIN ROCKS,2 M SW OF NYX ROOKERY,321947,5435895,NA,UNKNOWN,25.2,26,10,16,F,NEONATE,NA,>250,>250,SW,SW,NO,13:10,08-14-2019,SAME AS CAPTURE,0,SHEDDING,,
982126057821611,08-14-2019,12:40,"DME, NGE",NO,RATTLE,SUNNY,10%,29.3,26.5,SIGHT,COURTING,TALUS,WITHIN ROCKS,MARYLIN ROOKERY DOWNSLOPE DEN 5,321919,5435879,NA,PAISLEY,61,266,88,178,M,ADULT,NA,>150,>150,SW,SW,NO,12:47,08-14-2019,SAME AS CAPTURE,0,"7 BROKEN, WITH MARYLIN",,
982126057821688,08-14-2019,10:15,"DME, NGE",NO,RATTLE,SUNNY,5%,24.5,23.8,SOUND,COILED/BASKING,SHRUB STEPPE,WITHIN ROCK AND SUMAC,10M W OF ELECTRA ROOKERY,322099,5435667,NA,24,62.5,329,122,270,F,ADULT,GRAVID,>150,>150,SW,SW,NO,10:26,08-14-2019,SAME AS CAPTURE,0,8+B,"6 OVA DETECTED, MIGHT BE ROOKERY OR A PART OF ELECTRA'S",
982126057821691,08-14-2019,11:23,"DME, NGE",NO,RATTLE,SUNNY,10%,28.2,28.3,SIGHT,MOVING,TALUS,WITHIN ROCKS,HERMIONE ROOKERY,322048,5435741,NA,ZIPLOCK,26.15,25,10,15,F,NEONATE,NA,>200,>200,SW,SW,NO,11:47,08-14-2019,SAME AS CAPTURE,0,BUTTON,,
982126057821710,08-14-2019,9:40,"DME, NGE",NO,RATTLE,SUNNY,0%,22,23.1,SIGHT,COILED,DEN,WITHIN CRACK OF ROCK,RC DEN,322479,5435557,RC DEN,ZIPLOCK,22.5,20,10,10,F,NEONATE,NA,>100,>100,SW,SW,NO,9:51,08-13-2019,SAME AS CAPTURE,0,"1-2 DAYS OLD, COULD BE LUNA'S BABY?",,
982126057821720,08-14-2019,11:10,"DME, NGE",NO,RATTLE,SUNNY,10%,28.2,28.3,SIGHT,COILED/BASKING,TALUS,UNDER MEDIUM SIZED ROCK,HERMIONE ROOKERY,322050,5435733,NA,24,59,320,122,198,F,ADULT,GRAVID,>150,>150,SW,SW,NO,11:53,08-14-2019,SAME AS CAPTURE,0,9+B,,
989001006112872,08-14-2019,11:10,"DME, NGE",YES,RATTLE,SUNNY,0%,28.2,28.3,SIGHT,COILED/BASKING,TALUS,WITHIN ROCKS,HER ROOKERY FROM 2017,322047,5435725,NA,UNKNOWN,57.9,315,122,193,F,ADULT,GRAVID,>150,>150,SW,SW,NO,11:22,08-14-2019,SAME AS CAPTURE,0,"HERMIONE, STILL HAS TRANSMITTER, COULDN’T REMOVE BECAUSE CLOSE TO PARTURITION, SITE LOOKS HEALTHY.",,
982126057821715,08-14-2019,13:00,"DME, NGE",NO,RATTLE,SUNNY,10%,35.9,25.9,SIGHT,COILED,TALUS,WITHIN ROCKS,2M S OF NYX ROOKERY,321947,5435895,NA,ZIPLOCK,24.7,26,10,16,M,NEONATE,NA,>250,>250,SW,SW,NO,13:17,08-14-2019,SAME AS CAPTURE,0,,,
989002009006904,08-14-2019,13:02,"DME, NGE",YES,RATTLE,SUNNY,20%,35.9,25.9,SIGHT,COILED,TALUS,WITHIN ROCKS,2 M S OF NYX ROOKERY,321497,5435895,NA,50,60.6,258,122,136,F,ADULT,POST PARTUM,>25,>250,SW,SW,NO,13:27,08-14-2019,SAME AS CAPTURE,0,"6+BROKEN, 1 SHED SINCE 2019",,
989002009031844,08-14-2019,13:02,"DME, NGE",YES,RATTLE,SUNNY,20%,35.9,25.9,SIGHT,COILED,TALUS,UNDER ROCK,2 M SW OF NYX ROOKERY,321947,5435895,NA,NA,60.4,323,110,213,F,ADULT,NON GRAVID,>250,>250,SW,SW,NO,13:31,08-14-2019,SAME AS CAPTURE,0,"RECENT 2019 CAPTURE, MASS FELT IN BELLY, 1 FEMALE SNAKE AND 1 NEONATE AT NYX ROOKERY",,
982126057821584,08-16-2019,19:21,"DME, SME",NO,RATTLE,DUSK,80%,24.8,33.4,SIGHT,COILED,TALUS ROCK OUTCROP,ROCK CREVICE,RC DEN,322468,5435541,RC DEN,GREY,26.3,150,112,38,F,NEONATE,NA,>150,>200,SW,SW,NO,19:21,08-16-2019,SAME AS CAPTURE,0,"NOT SHEDDING, BUTTON, MAY BE AUDREYS BABY?",,
982126057821641,08-17-2019,11:06,"DME, SME",NO,RATTLE,SUNNY,40%,29.7,32.1,SIGHT,COILED/BASKING,SHRUB STEPPE,WITHIN ROCKS BELOW ELECTIC POLE,75M DOWNSLOPE DEN 5,321903,5435756,NA,50,59.15,268,126,142,M,ADULT,NA,>150,>150,SW,SW,NO,11:20,08-17-2019,SAME AS CAPTURE,0,4+B,,
