PIT TAG,DATE,Time,RESEARCHER,RECAPTURE,SPECIES,WEATHER,CLOUD COVE,WIND,AIR TEMP,GROUND TEM,DETECTION,BEHAVIOUR,MACRO HABI,MICRO HABI,LOCATION,Easting,Northing,DEN SITE,COMMENS,PILLOW CAS,SVL,S+B,BAG,MASS,SEX,AGE CLASS,BLOOD SAMP,SCALE CLIP,SCUTE MARK,GRAVID,DIST BUILD,DIST RD,DIR BUILD,DIR RD,REL DATE,REL TIME,REL RESEAR,REL LOCA,DAYS IN CA
485e513965,7/7/2015,10:54:22,JRM/KME,TRUE,NP RATTLESNAKE,CLOUDY,9-Sep,BREEZE,31.6,33.5,SIGHT,COILED,GOLF COURSE,under rock overhang,7th tee shedding site,322680.2564,5435073.277, , ,72,68,317,109,208,MALE,ADULT,TRUE,TRUE,s096,N/A,>100,>100,S,S,7/7/2015,11:05,JRM/KME,same as cap,0
4c3b4a708,5/19/2015,13:32:54,CG STAFF,FALSE,RACER,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,UNKNOWN, ,site 236,321237.4565,5435436.731, , ,23,43.5,135,99,36,FEMALE,SUB ADULT,FALSE,FALSE, ,Non-gravid, , , , ,5/20/2015,16:30,JRM/KME,high desert,1
0a13654b61,7/5/2015,13:36:35,CG STAFF,TRUE,NP RATTLESNAKE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,UNKNOWN, ,boat stall 17,321363.7748,5435275.608, , ,69,54.8,191,93,98,FEMALE,ADULT,FALSE,TRUE,s097,Non-gravid,Oct-50,ON ROAD,N, ,7/7/2015,14:30,JRM/KME,village,2
0a1367754a,7/7/2015,9:45:43,CG STAFF,TRUE,NP RATTLESNAKE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,CAMP GROUND,road,CG entrance,321703.9334,5434562.353, , ,63,64.5,324,104,220,MALE,ADULT,FALSE,TRUE,s098,N/A,Oct-50,ON ROAD,W,none,7/7/2015,14:30,JRM/KME,village,0
4c3d110547,5/26/2015,14:40:47,JH,FALSE,RACER,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,SHRUB STEPPE,open gravel,north trail,322264.6812,5435264.935, , ,62,59.5,164,96,78,MALE,SUB ADULT,FALSE,TRUE,s056,N/A,>100,>100,S,S,5/27/2015,14:15,JH,near cap,1
4a6b3c5330,7/9/2015,21:11:25,JRM/KME,TRUE,NP RATTLESNAKE,DUSK CLOUDY,9-May,NO WIND,27.4,27.2,SOUND,MOVING,CONSTRUCTION,open grass,w dev fence,322598.5024,5434804.336, ,shed gained wieght since last cap,13,57,270,135,135,FEMALE,ADULT,FALSE,FALSE,already clipped,Non-gravid,Oct-50,Oct-50,E,E,7/12/2015, 9:12,JRM/KME,same as cap,3
4c3b6e6f56,7/11/2015,8:07:09,JRM/KME,TRUE,NP RATTLESNAKE,CLOUDY,9-Sep,NO WIND,22.6,23.6,SIGHT,COILED,CONSTRUCTION,antelopebrush overhang,20m n dev fence,322659.235,5434897.397, ,shedding cap E fence in may,36,0,0,0,0,FEMALE,ADULT,FALSE,FALSE,already clipped,Non-gravid,50-74,Oct-50,S,S,7/11/2015,8:10,JRM/KME,same as cap,0
989001004384273,7/11/2015,8:24:25,JRM/KME,FALSE,NP RATTLESNAKE,CLOUDY,9-Sep,NO WIND,25.1,25,SIGHT,COILED,CONSTRUCTION,open grass,15m N dev fence,322705.7761,5434893.509, ,LENA,36,52.7,202,71,131,FEMALE,ADULT,FALSE,TRUE,s102,Non-gravid,50-74,Oct-50,SW,SW,7/15/2015,8:00,JRM/KME,near cap,4
0a180d5f34,7/11/2015,10:25:59,JRM/KME,TRUE,NP RATTLESNAKE,SUNNY/CLOUDY,9-Aug,BREEZE,26.6,29.5,SIGHT,COILED,GOLF COURSE,tall grass edge of antelope,W edge fairway 7,322621.0781,5434964.417, , ,8,52,217,88,129,FEMALE,ADULT,FALSE,FALSE, ,Non-gravid,>100,>100,SE,SE,7/13/2015,16:00,JRM/KME,same as cap,2
989001004384329,7/11/2015,20:22:54,JRM/KME,FALSE,GOPHER SNAKE,DUSK CLOUDY,9-Sep,NO WIND,25.3,25.3,SIGHT,MOVING,CONSTRUCTION,open grass,W dev fence,322591.2804,5434712.021, ,could not find vein,33,80.3,236,85,150,MALE,ADULT,FALSE,TRUE,s100,N/A,Oct-50,50-74,E,E,7/13/2015,16:05,JRM/KME,near cap,2
0a180d5f41,7/13/2015,8:25:12,JRM/KME,TRUE,NP RATTLESNAKE,SUNNY/CLOUDY,9-Jun,NO WIND,22.5,22.1,SIGHT,MOVING,GOLF COURSE,open grass,b/w 4th and 5th fairways,322463.3578,5434690.32, ,just finished eating,77,54.7,232,80,152,FEMALE,ADULT,TRUE,TRUE,s099,Non-gravid,>100,>100,W,W,7/13/2015,8:35,JRM/KME,same as cap,0
