PIT TAG,DATE,Time,RESEARCHER,RECAP,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEM,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,Northing,SITE,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,BLOOD 1,BLOOD 1 TI,BLOOD 2,BLOOD 2 TI,SCALE,DIST BUI,DIST RD,DIR BUI,DIR RD,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,COMMENTS
989001005040881,5/11/2016,10:00:42,JRM/CH,FALSE,RACER,CLOUDY,9,22.8,26.4,SIGHT,MOVING,GOLF COURSE,antelopebrush,5m W edge fairway 5,322436.274,5434780.592,SOUTH, ,14,65.2,183,76,107,FEMALE,ADULT,NON GRAVID, , , , , ,>100,>100,E,E,FALSE,1009,11-May,same as cap,0, 
989001004384305,5/11/2016,10:59:00,JRM/CH,FALSE,RATTLESNAKE,CLOUDY,9,21.8,25.8,SIGHT,COILED,GOLF COURSE,under antelopebrush,5th teebox,322510.5921,5434677.315,SOUTH, ,14,42.6,144,75,69,FEMALE,SUB-ADULT,NON GRAVID,b16-03a,2:29,b16-03b,18:20,too small,>100,>100,E,E,FALSE,1117,11-May,same as cap,0, 
0a180d5f36,5/11/2016,11:37:40,JRM/CH,TRUE,RATTLESNAKE,SUNNY/CLOUDY,7,25.6,28.3,SOUND,BASKING,GOLF COURSE,short grass,5th teebox cart path,322526.6797,5434633.993,SOUTH, ,62,58.6,211,90,121,FEMALE,ADULT,NON GRAVID,b16-04a,3:30,b16-04b,15:00,s16-04,>100,>100,E,E,FALSE,1149,11-May,same as cap,0,seemed skinny
989001005040863,5/11/2016,14:30:50,JRM/CH,FALSE,GOPHER SNAKE,CLOUDY,8,22.5,25.5,SIGHT,MOVING,CONSTRUCTION,open sand,W dev fence inside,322602.5738,5434782.223,SOUTH, ,77,82.5,294,80,214,MALE,ADULT,N/A, , , , , ,<10,<10,E,SE,TRUE,14:43,11-May,outside fence,11-May, 
989001005040835,5/11/2016,12:10:37,JRM/CH,FALSE,RACER,SUNNY/CLOUDY,5,25.7,29.1,SIGHT,MOVING,CONSTRUCTION,open grass,W dev fence,322602.5336,5434787.054,SOUTH, ,14,59.4,151,77,74,MALE,ADULT,N/A, , , , , ,Oct-50,Oct-50,SE,E,FALSE,1233,11-May,same as cap,0, 
989001005040910,5/11/2016,14:54:34,JRM/CH,FALSE,GOPHER SNAKE,SUNNY/CLOUDY,8,25.1,26.8,SIGHT,MOVING,CONSTRUCTION,open ground,NW dev fence,322600.9365,5434807.811,SOUTH, ,61,93.3,365,81,284,MALE,ADULT,N/A, , , , , ,<10,<10,E,E,FALSE,15:04,11-May,same as cap,11-May, 
0a180d5f37,5/11/2016,15:44:51,JRM/CH,TRUE,RATTLESNAKE,CLOUDY,9,24.1,22.8,SIGHT,COILED,GOLF COURSE,between rocks,7th tee shed site,322679.3948,5435067.816,SOUTH, ,77,59.5,291,80,211,FEMALE,ADULT,OVA DETECTED,b16-05a,3:28,b16-05b,17:23,s16-05,>100,>100,S,S,FALSE,13:58,11-May,same as cap,0, 
989001005040898,5/11/2016,16:50:26,JRM/CH,TRUE,RATTLESNAKE,CLOUDY,9,15.5,20.6,SIGHT,COILED,SHRUB STEPPE,under bridge,trail bridge,322147.3818,5435051.723,SOUTH, ,77,57.7,225,80,145,MALE,SUB-ADULT,N/A, , , , , ,>100,>100,S,S,FALSE,1714,11-May,same as cap,0,lost tag. heavy bleeding from new tag
989001005040816,5/12/2016,10:55:50,JRM/CH,FALSE,RACER,SUNNY,4,20.8,20.6,SIGHT,BASKING,RESIDENTIAL,open grass,near centre parking lot,322048.5623,5434938.119,SOUTH, ,63,50.6,150,101,49,MALE,ADULT,N/A, , , , , ,75-100,Oct-50,E,S,TRUE,1104,12-May,outside fence,0,inside fence
989001005040896,5/12/2016,11:18:45,JRM/CH,FALSE,RACER,SUNNY,5,22.2,22.4,SIGHT,MOVING,SHRUB STEPPE,sage,north centre parking lot,321956.0341,5434882.067,SOUTH, ,72,68.4,167,100,67,MALE,ADULT,N/A, , , , , ,50-75,Oct-50,S,S,TRUE,11:27,12-May,other side fenc,12-May,inside fence
0a1367754a,5/12/2016,11:49:52,JRM/CH,TRUE,RATTLESNAKE,SUNNY/CLOUDY,6,21.8,24.6,SOUND,BASKING,SHRUB STEPPE,open grass,new hprse stables,321834.859,5434745.237,SOUTH, ,72,63.5,396,106,290,MALE,ADULT,N/A, , , , , ,Oct-50,75-100,S,SE,TRUE,1155,12-May,20minside fenc,0,inside fence
989001005040909,5/12/2016,12:13:17,JRM/CH,FALSE,GOPHER SNAKE,SUNNY/CLOUDY,5,22.9,24.6,SIGHT,MOVING,SHRUB STEPPE,snake fence,N CG fence,321612.1207,5434773.415,SOUTH, ,72,72.2,295,100,195,MALE,ADULT,N/A, , , , , ,>100,>100,S,S,FALSE,12:24,12-May,same as cap,12-May, 
989001095040820,5/12/2016,12:51:12,JRM/CH,FALSE,GOPHER SNAKE,SUNNY/CLOUDY,5,22.3,26,SOUND,COURTING/MATING,SHRUB STEPPE,under sage,N CG fence inside,321595.652,5434800.497,SOUTH, ,72,78.8,305,105,200,MALE,ADULT,N/A, , , , , ,>100,>100,SW,SW,TRUE,1308,12-May,outsie fence,0,with female
989001005040900,5/12/2016,12:51:30,JRM/CH,FALSE,GOPHER SNAKE,SUNNY/CLOUDY,5,22.3,26,SOUND,COURTING/MATING,SHRUB STEPPE,under sage,NCG fence inside,321595.8021,5434800.286,SOUTH, ,63,78,265,100,165,FEMALE,ADULT,NON GRAVID, , , , , ,>100,>100,SW,SW,TRUE,1259,12-May,outside fence,0,with male
989001005040897,5/12/2016,14:02:24,JRM/CH,FALSE,RACER,SUNNY/CLOUDY,6,22.6,26.5,SIGHT,MOVING,SHRUB STEPPE,open grass,N CG fence inside,321234.2124,5435544.343,SOUTH, ,63,54,154,100,54,FEMALE,ADULT,NON GRAVID, , , , , ,75-100,75-100,W,W,TRUE,1417,12-May,outside fence,0, 
989001005040893,5/12/2016,14:03:25,JRM/CH,FALSE,RACER,SUNNY/CLOUDY,5,22.6,26.5,SIGHT,MOVING,SHRUB STEPPE,fence,N CG fence,321194.3169,5435583.384,SOUTH, ,15,57.8,170,90,80,FEMALE,ADULT,N/A, , , , , ,75-100,75-100,W,W,FALSE,14:27,12-May,same as cap,12-May, 
989001005040879,5/12/2016,14:03:53,JRM/CH,FALSE,RACER,SUNNY/CLOUDY,7,22.5,26.2,SIGHT,MOVING,SHRUB STEPPE,open gass,N CG fence,321184.1451,5435593.028,SOUTH, ,72,56,176,105,71,FEMALE,ADULT,NON GRAVID, , , , , ,75-100,75-100,W,W,FALSE,1436,12-May,same as cap,0, 
989001005040819,5/12/2016,14:40:13,JRM/CH,FALSE,GOPHER SNAKE,SUNNY/CLOUDY,6,22.4,26.1,SIGHT,MOVING,SHRUB STEPPE,fence,N CG fence,321320.2039,5435436.748,SOUTH, ,14,84,290,80,210,MALE,ADULT,N/A, , , , , ,75-100,75-100,W,W,FALSE,14:52,12-May,same as cap,12-May, 
989001005040884,5/12/2016,15:13:16,JRM/CH,FALSE,RATTLESNAKE,SUNNY/CLOUDY,7,23.6,25.1,SOUND,BASKING,SHRUB STEPPE,open sand,north desert,321007.4071,5435871.902,NORTH, ,15,41.3,140,80,60,FEMALE,JUVENILE,NON GRAVID,b16-06a,4:30,b16-06b,17:24,too small,>100,>100,W,W,FALSE,1525,12-May,same as cap,0, 
989001005040845,5/12/2016,16:31:53,JRM/JH,FALSE,RACER,SUNNY/CLOUDY,4,27.2,25.5,SIGHT,BASKING,SHRUB STEPPE,open grass,north desert,320540.7069,5437110.426,NORTH, ,72,54.5,170,100,70,FEMALE,ADULT,NON GRAVID, , , , , ,>100,>100,NW,NW,FALSE,1641,12-May,same as cap,0, 
989001005040824,5/12/2016,16:32:49,JRM/CH,FALSE,RACER,SUNNY/CLOUDY,4,27.2,25.5,SIGHT,MOVING,SHRUB STEPPE,open grass,north desert,320541.9009,5437109.774,NORTH, ,15,52.7,141,80,61,MALE,ADULT,N/A, , , , , ,>100,>100,NW,NW,FALSE,1650,12-May,same as cap,0, 
989001005040844,5/13/2016,11:00:51,JRM/CH,FALSE,RATTLESNAKE,SUNNY,4,19.1,19.7,SIGHT,BASKING,TALUS,open ground,near D2 rookerie,323284.1961,5434741.748,SOUTH, ,15,61.2,254,90,164,FEMALE,ADULT,OVA DETECTED,b16-07a,3:49,b16-07b,14:59,s16-07,>100,>100,SW,SW,FALSE,1116,13-May,same as cap,0,3 ova
4c3c14691d,5/13/2016,11:35:24,JRM/CH,TRUE,RATTLESNAKE,SUNNY,2,19.1,19.7,SIGHT,COILED,SHRUB STEPPE,under rock,below den 2 rookery,323282.678,5434740.957,SOUTH, ,62,64,220,90,130,FEMALE,ADULT,NON GRAVID, , , , , ,>100,>100,W,W,FALSE,11:41,13-May,same as capp,13-May, 
989001005040906,5/13/2016,15:05:24,JRM/CH,FALSE,RATTLESNAKE,SUNNY,2,31.5,31.5,SIGHT,BASKING,PINE STAND,near rock,near N end of trail,322292.6524,5435285.663,SOUTH, ,62,44.8,162,90,72,FEMALE,SUB-ADULT,NON GRAVID,b16-08a,5:07,b16-08b,15:46,s16-08,>100,>100,S,S,FALSE,1520,13-May,same as cap,0, 
