Categories,PIT Tag #,Date,Time,Researcher,Spp,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL,S + B,Bag,Mass,Sex,Age class,Gravid,Rattle paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Type
Unfiled,CO26190508,05/19/2008,04:16 PM,GC staff,Rattlesnake,,Sight,No,Golf Course - 9 fairway,3D diff,,,343,322411,5434583,,"GC, Fairway","Overcast, Hot",100,28.4,27.8,,Diff colour flowers,,2.6,147,104,43,,Neonate,,Gold,,1 rattle plus button - poss 2 summer,05/20/2008,03:39 PM,CIK,1,Lone Pine bridge,On the move,2008-26,Capt
Unfiled,CO27200508,05/20/2008,11:39 AM,"LG, CIK",Rattlesnake,,Sight,No,NE of bathroom 4,3D diff,10,2.8,303,321269,5435508,138,Shrub-steppe,"Cloudy, Cool",75,23.8,27.1,,White with purple blobs,,2.7,138,119,19,,Neonate,,Gold,,1 button only,05/20/2008,03:59 PM,CIK,,Lone Pine bridge,Working the fence,2008-27,Capt
Unfiled,CO28190508,05/20/2008,03:17 PM,LG,Rattlesnake,,Sight,No,,3D diff,146,5,322,322124,5434900,139,,,,,,,,,1.5,50,40,10,,Neonate,,Gold,,,05/20/2008,03:37 PM,CIK,,Lone Pine bridge,,2008-28,Capt
Unfiled,445E1B2963,05/19/2008,04:30 PM,LG,Rattlesnake,,Sight,,First Bridge,3D diff,30,2.6,331,322153,5435046,128,"Shrub-steppe, Antelope brush","Cloudy, Cool",100,23,23.6,,Blue,,5.4,347,99,248,Male,Adult,NA,"Fuchsia, Red, Lt blue",,,05/20/2008,03:59 PM,CIK,1,Lone Pine bridge,Stretched out,2008-29,Capt
Unfiled,497F7E5F79,05/23/2008,09:57 AM,LG,Rattlesnake,,Sound,No,Between 3 & 4 Drift fence,3D diff,30,2.5,388,322736,5434841,C00805230a,"Shrub-steppe, Lone pine bridge","Cloudy, Cool, Windy",100,20.9,20,,Retro,68.5,5.8,362,96,266,Male,Adult,NA,"Gold, Red, Royal blue",,,05/27/2008,04:03 PM,CIK,4,At capture location,On the move,2008-30,Capt
Unfiled,4A1E197859,05/23/2008,10:21 AM,LG,Rattlesnake,,Sight,,"R of concrete pumphouse, Drift fence",3D diff,25,2.7,365,322747,5434654,Co0805230b,"Rocks, between snake fence and fence","Cloudy, Cool, Windy",100,22.8,22.9,,Yellow rose,56.4,3.4,261,105,156,Female,Adult,No,"Gold, Pt purple, Red",,,05/28/2008,10:11 AM,CIK,5,Riperian - pumphouse,"Coiled, on rocks",2008-31,Capt
Unfiled,45306D4A14,05/23/2008,11:30 AM,LG,Rattlesnake,,Sight,Yes,E of Campground office,3D diff,25,5.1,302,321751,5434681,Co0805230c,"Shrub-steppe, Rabbit brush","Cloudy, Cool, Windy",100,21.4,24.4,,Pink yellow blue flowers,,5.6,390,104,286,Male,Adult,NA,"Fuchsia, Blue bell, Pt purple",,,05/27/2008,03:27 PM,CIK,4,"Close to cap location, better cover",On the move,2008-32,08recap
Unfiled,452F591833,05/23/2008,12:36 PM,"LG, CIK",Rattlesnake,,Sight,No,Pump house road,3D diff,27,2.6,304,321875,5434811,CO0805230d,"Shrub-steppe, under elm","Cool, Cloudy, Windy",100,23.6,25.7,Same waypoint as gophersnake,Blue,,6.7,389,99,290,Male,Adult,NA,"Fuchsia, Royal blue, Lt blue",,,05/29/2008,04:15 PM,CIK,6,Riperian - pumphouse,Coiled,2008-33,Capt
Unfiled,430348253E,05/24/2008,04:07 PM,OMM,Rattlesnake,,Sight,No,Desert Centre,3D diff,75,4.5,331,322109,5434993,CO34240508,"Building, Sagebrush","Overcast, Cool",100,24.8,25.2,,Light yellow flowers,73,6.5,378,93,285,Male,Adult,NA,"Daisy cream, Tango blue",,Newman,,,,,,On the move,2008-34,Capt
Unfiled,4A4E1F2238,05/25/2008,05:10 PM,OMM,Rattlesnake,,Sight,No,High desert,3D diff,65,2.3,336,321745,5435246,CO35250508,"Shrub-steppe, Antelope brush","Overcast, Cool, Windy",100,24.6,23.8,,Grey,,3.4,233,95,138,Female,Adult,No,"Gold, Pt purple, Fuchsia",,Has an old non-working chip,,,,,,Looped,2008-35,Capt
